[INFO] 2017-01-11 09:45:33 [server] [./../lualib/sgoly_printf.lua:13] sgoly_users.register users_nickname =nil, users_pwd =nil
[INFO] 2017-01-11 09:45:33 [server] [./../lualib/sgoly_printf.lua:13] parameters_valid users_nickname =nil, users_pwd =nil
[INFO] 2017-01-11 09:46:33 [server] [./../lualib/sgoly_printf.lua:13] sgoly_users.register users_nickname =nil, users_pwd =nil
[INFO] 2017-01-11 09:46:33 [server] [./../lualib/sgoly_printf.lua:13] parameters_valid users_nickname =nil, users_pwd =nil
[INFO] 2017-01-11 09:47:15 [server] [./../lualib/sgoly_printf.lua:13] sgoly_users.register users_nickname =nil, users_pwd =nil
[INFO] 2017-01-11 09:47:15 [server] [./../lualib/sgoly_printf.lua:13] parameters_valid users_nickname =nil, users_pwd =nil
[INFO] 2017-01-11 09:48:24 [server] [./../lualib/sgoly_printf.lua:13] sgoly_users.register users_nickname =nil, users_pwd =nil
[INFO] 2017-01-11 09:48:24 [server] [./../lualib/sgoly_printf.lua:13] parameters_valid users_nickname =nil, users_pwd =nil
[INFO] 2017-01-11 09:51:50 [server] [./../lualib/sgoly_printf.lua:13] sgoly_users.register users_nickname =nil, users_pwd =123456
[INFO] 2017-01-11 09:51:50 [server] [./../lualib/sgoly_printf.lua:13] parameters_valid users_nickname =nil, users_pwd =123456
[INFO] 2017-01-11 09:55:20 [server] [./../lualib/sgoly_printf.lua:13] sgoly_users.register users_nickname =nil, users_pwd =123456
[INFO] 2017-01-11 09:55:20 [server] [./../lualib/sgoly_printf.lua:13] parameters_valid users_nickname =nil, users_pwd =123456
[INFO] 2017-01-11 09:56:19 [server] [./../lualib/sgoly_printf.lua:13] sgoly_users.register users_nickname =1234.0, users_pwd =123456
[INFO] 2017-01-11 09:56:19 [server] [./../lualib/sgoly_printf.lua:13] parameters_valid users_nickname =1234.0, users_pwd =123456
[INFO] 2017-01-11 09:58:11 [server] [./../lualib/sgoly_printf.lua:13] sgoly_users.register users_nickname =1234, users_pwd =123456
[INFO] 2017-01-11 09:58:11 [server] [./../lualib/sgoly_printf.lua:13] parameters_valid users_nickname =1234, users_pwd =123456
